incidente_c4,incidente
accidente-choque sin lesionados,Accidente – Choque sin lesionados
accidente-choque con lesionados,Accidente – Choque con lesionados
accidente-persona atrapada / desbarrancada,Accidente – Persona atrapada/ desbarrancada
lesionado-atropellado,Lesionado -  Atropellado
lesionado-accidente automovilÃ­stico,Lesionado -  Accidente automovilístico
accidente-volcadura,Accidente – Volcadura
accidente-otros,Accidente – Otros
cadÃ¡ver-atropellado,Cadáver – Atropellado
detenciÃ³n ciudadana-atropellado,Detención ciudadana – Atropellado
accidente-motociclista,Accidente – Motociclista
accidente-vehiculo desbarrancado,Accidente – Vehículo desbarrancado
cadÃ¡ver-accidente automovilÃ­stico,Cadáver – Accidente automovilístico
accidente-choque con prensados,Accidente – Choque con prensados
accidente-vehiculo atrapado,Accidente – Vehículo atrapado
accidente-ciclista,Accidente – Ciclista 
accidente-vehÃ­culo atrapado-varado,Accidente – Vehículo atrapado – Varado
sismo-choque con lesionados,Sismo – Choque con lesionados 
mi ciudad-calle-incidente de trÃ¡nsito,Mi ciudad – calle – Incidente transito
sismo-choque sin lesionados,Sismo – Choque – Sin lesionados
detenciÃ³n ciudadana-accidente automovilÃ­stico,Detención ciudadana - Accidente automovilístico
mi ciudad-taxi-incidente de trÃ¡nsito,Mi ciudad – Taxi – Incidente de transito
sismo-persona atropellada,Sismo – Persona atropellada
accidente-monopatÃ­n,Accidente – Monopatín
accidente-ferroviario,Accidente – Ferroviario
cadÃ¡verE AUXILIO,Cadáver auxilio
BOTÃN DE AUXILIO,Botón de auxilio
cadÃ¡ver-atUXILIO,Cadáver auxilio
caTÃN DE AUXILIO,Botón de auxilio
lesionado-accidente automovilÃ­stic,Lesionado -  Accidente automovilístico
cadÃ¡v DE AUXILIO,Cadáver auxilio
sismo-choque con prensados,Sismo – Choque con prensados
cOTÃN DE AUXILIO,Botón de auxilio
